DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
PV2015_1008_14U0371,143961,UT,18:06:53 09-Sep-2015,,,1,53.7042,-166.5618,CRC 9.12,18:06:53 09-Sep-2015,Status,9,0,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,UT,18:05:20 09-Sep-2015,,,1,53.7034,-166.5648,CRC 7.152,11:14:40 21-Sep-2015,Status,64,240,123,76,87,232,99,145,26,172,234,14,154,0,2,134,145,254,135,111,137,0,0,,,,,,,,,
PV2015_1008_14U0371,143961,UT,18:00:59 10-Sep-2015,,,B,53.7247,-166.5638,CRC (both failed),23:00:00 08-Sep-2015,Percent,42,229,32,238,224,128,0,238,224,238,224,226,255,250,57,96,229,23,0,0,0,0,0,0,0,0,0,0,0,14,134,
PV2015_1008_14U0371,143961,UT,16:34:48 16-Sep-2015,,,A,53.7288,-166.4868,CRC 156.118,16:34:57 16-Sep-2015,Status,83,144,84,179,168,23,62,81,120,66,46,83,150,1,185,22,143,255,28,197,32,0,0,,,,,,,,,
PV2015_1008_14U0371,143961,UT,18:10:14 16-Sep-2015,,,B,53.6723,-166.5151,CRC 8.10,18:10:14 16-Sep-2015,Status,24,96,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,UT,02:01:42 20-Sep-2015,,,,,,CRC (both failed),,,42,230,32,30,238,238,238,238,238,238,238,236,255,105,214,138,233,60,116,183,6,194,73,171,162,8,98,77,31,229,94,
PV2015_1008_14U0371,143961,UT,04:15:20 21-Sep-2015,,,,,,CRC (both failed),,,42,230,64,169,238,238,238,238,238,238,238,232,104,255,170,196,25,136,245,230,255,241,95,235,30,64,5,223,248,148,219,
PV2015_1008_14U0371,143961,UT,20:04:53 23-Sep-2015,,,A,53.7196,-166.5711,CRC 4.7,,,100,68,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2015_1008_14U0371,143961,UT,17:51:45 27-Sep-2015,,,B,53.6692,-166.6938,CRC (both failed),00:00:00 24-Sep-2015,Percent,42,231,32,255,255,242,238,238,238,142,238,232,0,238,4,83,231,0,255,255,243,238,238,238,238,238,224,230,255,88,6,
PV2015_1008_14U0371,143961,UT,17:53:17 27-Sep-2015,,,B,53.6692,-166.6938,CRC 179.153,17:53:27 27-Sep-2015,Status,86,112,84,179,168,22,62,81,125,199,86,214,206,4,203,20,97,255,28,193,144,0,0,,,,,,,,,
PV2015_1008_14U0371,143961,UT,18:57:01 08-Oct-2015,,,B,53.7214,-166.3708,CRC (both failed),00:00:00 06-Oct-2015,Percent,42,232,160,206,30,236,238,78,206,238,239,1,95,255,175,19,232,192,255,244,14,238,238,224,238,238,238,14,95,255,185,
PV2015_1008_14U0371,143961,UT,02:01:45 14-Oct-2015,,,B,53.6902,-166.5783,CRC (both failed),00:00:00 08-Oct-2015,Percent,42,233,96,247,238,238,238,238,254,238,238,224,0,0,14,181,233,0,175,248,238,238,238,238,238,238,224,54,228,255,95,
PV2015_1008_14U0371,143961,UT,22:04:08 16-Oct-2015,,,,,,CRC (both failed),,,42,233,160,175,46,238,238,238,238,238,238,238,63,255,255,161,233,68,253,240,238,239,238,238,238,238,206,14,14,226,172,
PV2015_1008_14U0371,143961,UT,22:04:08 16-Oct-2015,,,,,,CRC (both failed),,,42,233,160,175,46,238,220,201,153,155,153,153,137,136,129,152,153,254,16,12,11,64,8,25,26,153,209,115,119,81,137,
PV2015_1008_14U0371,143961,UT,19:46:51 18-Oct-2015,,,A,53.7212,-166.5354,CRC (both failed),00:00:00 17-Oct-2015,Percent,42,234,0,238,238,238,238,238,238,236,238,238,47,248,161,208,234,32,14,238,238,238,238,238,238,238,238,225,249,255,249,
PV2015_1008_14U0371,143961,UT,14:59:55 28-Oct-2015,,,B,53.7411,-166.6569,CRC 69.194,14:59:55 28-Oct-2015,Status,72,187,192,76,8,4,230,204,229,215,85,85,85,85,213,85,85,67,29,210,39,83,70,77,226,35,38,204,247,119,32,
PV2015_1008_14U0371,143961,UT,18:59:06 02-Nov-2015,,,B,53.7347,-166.5428,CRC (both failed),,,42,236,32,175,62,238,238,238,238,238,238,224,127,245,181,181,165,132,174,134,230,238,238,238,224,41,30,17,255,175,238,
PV2015_1008_14U0371,143961,UT,19:48:12 06-Nov-2015,,,,,,CRC (both failed),00:00:00 05-Nov-2015,Percent,42,236,96,14,238,238,254,238,238,238,110,8,253,175,62,247,236,160,0,238,238,238,238,238,238,238,238,0,1,0,157,
PV2015_1008_14U0371,143961,UT,22:44:13 08-Nov-2015,,,B,53.6959,-166.6058,CRC (both failed),,,42,236,128,254,238,238,238,238,238,224,0,238,0,34,0,243,236,224,241,238,238,238,238,238,238,238,234,255,255,255,73,
PV2015_1008_14U0371,143961,UT,23:11:30 13-Nov-2015,,,B,53.7145,-166.7249,CRC (both failed),,,42,237,0,255,248,238,238,238,238,224,206,224,121,105,247,13,237,64,78,198,238,238,238,222,239,238,238,229,111,144,127,
PV2015_1008_14U0371,143961,UT,22:32:43 15-Nov-2015,,,,,,CRC (both failed),,,42,237,192,246,238,238,238,238,238,238,238,238,238,47,78,134,237,128,46,238,238,238,238,234,238,224,224,159,32,254,127,
PV2015_1008_14U0371,143961,UT,02:09:24 18-Nov-2015,,,,,,CRC (both failed),00:00:00 11-Nov-2015,Percent,42,237,224,234,238,238,238,238,238,238,238,238,228,127,249,162,237,96,238,238,238,238,238,238,238,224,238,49,2,54,198,
PV2015_1008_14U0371,143961,UT,20:00:19 20-Nov-2015,,,B,53.6897,-166.3288,CRC (both failed),00:00:00 17-Nov-2015,Percent,42,238,96,250,30,238,238,238,238,238,14,14,238,79,255,193,238,32,240,238,238,238,238,238,238,224,238,228,255,255,146,
PV2015_1008_14U0371,143961,UT,21:39:52 20-Nov-2015,,,B,53.7162,-166.6724,CRC 223.105,21:39:50 20-Nov-2015,Status,91,240,84,179,168,87,62,81,122,86,124,159,212,14,239,22,163,255,30,205,160,0,0,,,,,,,,,
PV2015_1008_14U0371,143961,UT,22:00:46 30-Nov-2015,,,B,53.7293,-166.4920,CRC (both failed),,,40,239,160,250,242,254,238,238,238,238,224,95,255,255,250,114,239,64,255,126,238,238,238,238,14,224,14,238,58,255,180,
PV2015_1008_14U0371,143961,UT,04:12:16 03-Dec-2015,,,B,53.8519,-166.4226,CRC (both failed),,,34,240,64,151,238,238,238,238,238,238,14,224,0,25,154,105,239,160,250,242,238,238,238,238,238,224,95,255,255,250,114,
PV2015_1008_14U0371,143961,UT,15:46:47 10-Jan-2016,,,A,53.7302,-166.5495,CRC (both failed),,,42,241,0,238,14,238,14,225,14,238,237,226,105,92,47,246,216,148,234,74,20,8,207,93,166,156,207,103,41,253,232,
PV2015_1008_14U0371,143961,UT,22:23:05 10-Jan-2016,,,1,53.7668,-166.5284,CRC (both failed),,,42,4,96,238,238,238,238,239,230,238,64,142,0,7,62,143,243,168,248,2,98,226,251,12,194,32,63,227,218,15,1,
PV2015_1008_14U0371,143961,UT,02:46:06 11-Jan-2016,,,1,53.7707,-166.5047,CRC (both failed),,,42,241,160,238,238,230,224,207,234,238,238,238,238,238,238,69,242,160,14,238,238,238,238,238,206,238,238,238,238,238,67,
PV2015_1008_14U0371,143961,UT,16:52:31 11-Jan-2016,,,3,53.7639,-166.5042,CRC (both failed),00:00:00 30-Dec-2015,Percent,42,5,32,238,14,238,14,238,238,238,238,238,193,0,0,165,243,192,238,238,238,238,238,238,238,238,238,238,238,238,93,
PV2015_1008_14U0371,143961,UT,20:01:44 12-Jan-2016,,,B,53.7525,-166.4645,CRC (both failed),00:00:00 11-Jan-2016,Percent,42,114,64,238,238,238,238,238,238,238,238,238,238,238,238,73,5,96,47,160,238,238,224,225,111,255,255,255,255,250,239,
PV2015_1008_14U0371,143961,UT,03:58:54 17-Jan-2016,,,B,53.7475,-166.5688,CRC (both failed),00:00:00 16-Jan-2016,Percent,42,5,192,14,50,238,238,238,238,238,16,1,16,14,0,24,6,0,169,96,238,238,238,224,143,94,224,31,255,255,68,
PV2015_1008_14U0371,143961,UT,20:55:41 19-Jan-2016,,,,,,CRC 11.55,20:54:59 19-Jan-2016,Status,65,112,84,179,168,23,62,113,121,211,110,227,18,24,235,16,109,255,31,208,112,0,0,,,,,,,,,
PV2015_1008_14U0371,143961,UT,02:00:41 21-Jan-2016,,,B,53.6931,-166.9518,CRC (both failed),00:00:00 18-Jan-2016,Percent,42,6,128,255,255,255,255,255,255,255,241,0,62,95,255,82,6,64,62,238,238,238,238,1,14,238,14,9,255,159,80,
PV2015_1008_14U0371,143961,UT,03:14:11 16-Feb-2016,,,B,57.0440,-165.8968,CRC (both failed),00:00:00 23-Jan-2016,Percent,42,72,192,238,236,254,238,238,238,238,238,238,238,238,238,240,6,224,255,255,142,224,238,238,238,238,228,36,74,255,5,
PV2015_1008_14U0371,143961,UT,20:35:56 23-Feb-2016,,,1,54.2758,-165.5802,CRC (both failed),,,42,8,128,238,238,224,31,238,238,234,238,238,238,238,238,22,9,0,238,238,238,254,238,190,238,238,238,14,174,236,32,
PV2015_1008_14U0371,143961,UT,20:37:31 23-Feb-2016,,,1,54.2758,-165.5802,CRC 5.68,20:36:21 23-Feb-2016,Status,64,176,84,179,40,23,62,81,123,210,69,81,210,24,173,9,255,247,95,195,240,0,0,,,,,,,,,
PV2015_1008_14U0371,143961,UT,22:10:07 26-Feb-2016,,,A,53.7984,-166.4852,CRC (both failed),00:00:00 19-Feb-2016,Percent,42,42,64,238,238,238,238,238,238,238,238,238,238,238,238,204,10,96,238,238,238,238,238,238,238,238,238,238,238,238,50,
PV2015_1008_14U0371,143961,UT,22:13:55 26-Feb-2016,,,A,53.7984,-166.4852,CRC (both failed),,,42,8,128,238,238,224,14,238,238,238,238,238,238,238,174,22,9,32,174,238,238,238,238,224,16,238,0,14,238,238,47,
PV2015_1008_14U0371,143961,UT,04:40:24 27-Feb-2016,,,B,53.7616,-166.5060,CRC (both failed),,,42,8,64,238,238,238,238,238,238,230,238,234,238,234,238,1,38,224,255,255,142,224,238,238,238,238,228,36,74,255,37,
PV2015_1008_14U0371,143961,UT,07:01:12 27-Feb-2016,,,B,53.7509,-166.5558,CRC (both failed),00:00:00 29-Jan-2016,Percent,42,9,32,238,238,238,238,238,224,16,236,0,14,238,238,47,7,160,238,238,224,14,238,238,238,224,238,238,238,238,50,
PV2015_1008_14U0371,143961,UT,18:39:15 27-Feb-2016,,,1,53.7571,-166.4978,CRC (both failed),,,42,11,0,238,0,238,238,14,238,64,15,9,64,63,14,58,7,7,206,238,122,24,12,54,77,106,253,201,14,4,145,
PV2015_1008_14U0371,143961,UT,22:34:08 27-Feb-2016,,,A,53.7451,-166.4769,CRC (both failed),,,42,9,192,30,238,236,239,238,1,0,0,238,236,238,206,77,38,246,223,127,142,224,238,238,238,238,228,36,74,255,5,
PV2015_1008_14U0371,143961,UT,03:00:03 28-Feb-2016,,,B,53.7657,-166.5072,CRC (both failed),,,42,6,224,255,255,142,227,238,238,238,119,181,32,94,255,5,7,224,238,110,238,110,207,112,14,238,192,238,238,238,197,
PV2015_1008_14U0371,143961,UT,03:40:13 28-Feb-2016,,,B,53.7647,-166.5108,CRC (both failed),00:00:00 11-Feb-2016,Percent,42,11,96,146,255,255,242,238,238,14,238,229,255,255,255,87,9,96,238,238,238,238,238,238,238,238,238,224,238,238,54,
PV2015_1008_14U0371,143961,UT,05:26:07 28-Feb-2016,,,2,53.7601,-166.5458,CRC (both failed),00:00:00 05-Feb-2016,Percent,42,8,96,238,238,238,236,238,238,238,238,238,238,238,238,255,8,160,238,238,238,238,238,238,238,238,238,238,238,238,245,
PV2015_1008_14U0371,143961,UT,05:47:20 28-Feb-2016,,,A,53.7935,-166.5069,CRC (both failed),,,42,9,192,14,238,238,110,238,1,0,0,236,110,237,206,21,233,43,82,26,90,222,218,75,109,25,164,17,175,227,91,
PV2015_1008_14U0371,143961,UT,05:49:13 28-Feb-2016,,,A,53.7935,-166.5069,CRC (both failed),00:00:00 11-Feb-2016,Percent,42,9,160,174,238,238,238,0,14,238,238,14,238,238,238,229,9,96,238,238,238,238,238,238,238,238,238,224,238,238,54,
PV2015_1008_14U0371,143961,UT,18:19:55 28-Feb-2016,,,2,53.7595,-166.5087,CRC (both failed),00:00:00 27-Feb-2016,Percent,42,9,160,238,238,238,238,0,78,238,238,14,238,238,238,229,11,96,146,255,255,242,238,238,14,238,229,255,255,255,95,
PV2015_1008_14U0371,143961,UT,19:33:52 28-Feb-2016,,,B,53.7883,-166.5234,CRC (both failed),,,42,10,64,238,238,238,238,238,238,230,238,238,247,238,238,204,10,224,175,238,224,238,238,238,238,0,14,111,248,110,48,
PV2015_1008_14U0371,143961,UT,22:07:48 28-Feb-2016,,,B,53.7873,-166.5282,CRC (both failed),,,42,11,32,174,238,238,14,238,238,238,14,238,16,238,238,116,11,64,238,238,238,238,238,14,14,254,238,238,226,255,109,
PV2015_1008_14U0371,143961,UT,02:48:42 08-Mar-2016,,,B,53.7111,-166.6275,CRC (both failed),,,42,12,192,255,255,254,206,238,110,238,238,238,232,255,255,152,12,224,120,236,238,238,232,238,238,238,224,0,46,175,50,
PV2015_1008_14U0371,143961,UT,02:05:09 09-Mar-2016,,,A,53.7668,-166.5166,CRC (both failed),,,42,12,224,120,238,238,234,224,238,206,206,224,0,46,175,34,140,192,255,254,255,78,238,238,238,238,238,232,255,255,152,
