DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
PV2015_1008_14U0371,143961,UT,02:02:32 11-Jan-2016,Argos,A,53.7580,-166.5246,264,520,133,49,,,,,,
PV2015_1008_14U0371,143961,UT,02:05:21 11-Jan-2016,Argos,1,53.7623,-166.5241,1489,3351,661,99,,,,,,
PV2015_1008_14U0371,143961,UT,02:53:45 11-Jan-2016,Argos,1,53.7707,-166.5047,1048,1691,649,77,,,,,,
PV2015_1008_14U0371,143961,UT,15:16:39 11-Jan-2016,Argos,1,53.7680,-166.4897,549,1173,256,94,,,,,,
PV2015_1008_14U0371,143961,UT,15:57:38 11-Jan-2016,Argos,A,53.7856,-166.4922,676,963,473,25,,,,,,
PV2015_1008_14U0371,143961,UT,15:58:34 11-Jan-2016,Argos,A,53.7588,-166.5143,585,647,527,86,,,,,,
PV2015_1008_14U0371,143961,UT,16:34:32 11-Jan-2016,Argos,2,53.7617,-166.5128,467,1081,202,89,,,,,,
PV2015_1008_14U0371,143961,UT,16:55:00 11-Jan-2016,Argos,3,53.7639,-166.5042,198,683,57,86,,,,,,
PV2015_1008_14U0371,143961,UT,17:35:57 11-Jan-2016,Argos,0,53.7322,-166.3722,5658,90339,354,105,,,,,,Lon > 4 deviations from mean
PV2015_1008_14U0371,143961,UT,18:17:44 11-Jan-2016,Argos,0,53.7597,-166.5447,1920,4309,855,108,,,,,,
PV2015_1008_14U0371,143961,UT,19:18:46 11-Jan-2016,Argos,B,53.7806,-166.5521,5060,8308,3081,93,,,,,,
PV2015_1008_14U0371,143961,UT,19:27:46 11-Jan-2016,Argos,A,53.7693,-166.5401,317,880,114,124,,,,,,
PV2015_1008_14U0371,143961,UT,20:22:09 11-Jan-2016,Argos,B,53.7600,-166.5624,1017,15663,66,86,,,,,,
PV2015_1008_14U0371,143961,UT,21:16:45 11-Jan-2016,Argos,1,53.7688,-166.5502,910,8278,100,98,,,,,,
PV2015_1008_14U0371,143961,UT,22:06:04 11-Jan-2016,Argos,1,53.7585,-166.5077,572,2302,142,112,,,,,,
PV2015_1008_14U0371,143961,UT,22:29:47 11-Jan-2016,Argos,A,53.7642,-166.4991,417,1273,136,118,,,,,,
PV2015_1008_14U0371,143961,UT,22:52:22 11-Jan-2016,Argos,3,53.7567,-166.5109,222,267,184,39,,,,,,
PV2015_1008_14U0371,143961,UT,03:19:39 12-Jan-2016,Argos,A,53.7582,-166.5066,720,2130,243,140,,,,,,
PV2015_1008_14U0371,143961,UT,03:30:07 12-Jan-2016,Argos,0,53.7546,-166.5176,2932,12028,714,77,,,,,,
PV2015_1008_14U0371,143961,UT,20:01:43 12-Jan-2016,Argos,B,53.7525,-166.4645,63878,158554,25734,75,,,,,,
PV2015_1008_14U0371,143961,UT,20:56:48 12-Jan-2016,Argos,1,53.7499,-166.4637,1039,3851,280,90,,,,,,
PV2015_1008_14U0371,143961,UT,21:43:43 12-Jan-2016,Argos,1,53.7598,-166.5076,745,4393,126,99,,,,,,
PV2015_1008_14U0371,143961,UT,22:16:20 12-Jan-2016,Argos,1,53.7637,-166.5295,679,1206,381,13,,,,,,
PV2015_1008_14U0371,143961,UT,22:27:53 12-Jan-2016,Argos,2,53.7639,-166.5137,349,616,197,101,,,,,,
PV2015_1008_14U0371,143961,UT,23:53:37 12-Jan-2016,Argos,B,53.7145,-166.5541,1316,17816,97,88,,,,,,
PV2015_1008_14U0371,143961,UT,22:03:53 16-Jan-2016,Argos,A,53.7533,-166.5362,189,388,92,149,,,,,,
PV2015_1008_14U0371,143961,UT,02:31:40 17-Jan-2016,Argos,B,53.7351,-166.5880,2143,3984,1152,91,,,,,,
PV2015_1008_14U0371,143961,UT,02:31:40 17-Jan-2016,Argos,B,53.7425,-166.5535,2486,5362,1152,81,,,,,,
PV2015_1008_14U0371,143961,UT,03:37:25 17-Jan-2016,Argos,B,53.7478,-166.5587,2008,50138,80,84,,,,,,
PV2015_1008_14U0371,143961,UT,03:58:53 17-Jan-2016,Argos,B,53.7475,-166.5688,2044,14544,287,84,,,,,,
PV2015_1008_14U0371,143961,UT,04:15:42 17-Jan-2016,Argos,B,53.7599,-166.5042,642,4287,96,127,,,,,,
PV2015_1008_14U0371,143961,UT,21:43:47 17-Jan-2016,Argos,B,53.7163,-166.6731,3705,10271,1336,90,,,,,,
PV2015_1008_14U0371,143961,UT,22:27:25 17-Jan-2016,Argos,B,53.7290,-166.4680,3936,8863,1748,105,,,,,,
PV2015_1008_14U0371,143961,UT,20:08:53 19-Jan-2016,Argos,B,53.7464,-164.9087,12799,694110,236,90,,,,,,
PV2015_1008_14U0371,143961,UT,02:01:38 20-Jan-2016,Argos,B,53.7274,-166.5836,3971,7625,2068,76,,,,,,
PV2015_1008_14U0371,143961,UT,02:01:38 20-Jan-2016,Argos,B,53.6910,-166.6418,21116,202720,2199,58,,,,,,
PV2015_1008_14U0371,143961,UT,08:28:19 20-Jan-2016,Argos,B,53.6744,-166.9395,26261,90504,7620,81,,,,,,
PV2015_1008_14U0371,143961,UT,02:00:41 21-Jan-2016,Argos,B,53.6931,-166.9518,4341,11127,1693,81,,,,,,
PV2015_1008_14U0371,143961,UT,03:28:13 21-Jan-2016,Argos,B,53.6912,-166.9956,8026,50599,1273,87,,,,,,
PV2015_1008_14U0371,143961,UT,15:02:25 21-Jan-2016,Argos,A,53.7199,-166.5717,266,701,101,113,,,,,,
PV2015_1008_14U0371,143961,UT,15:44:39 21-Jan-2016,Argos,B,53.7270,-166.5394,893,1610,494,91,,,,,,
PV2015_1008_14U0371,143961,UT,20:21:02 21-Jan-2016,Argos,B,53.7194,-166.4306,2349,4432,1244,96,,,,,,
PV2015_1008_14U0371,143961,UT,21:05:23 21-Jan-2016,Argos,B,53.7120,-166.5697,1430,14934,137,50,,,,,,
PV2015_1008_14U0371,143961,UT,23:59:11 21-Jan-2016,Argos,B,53.6949,-166.5741,2007,4348,926,77,,,,,,
PV2015_1008_14U0371,143961,UT,04:56:54 22-Jan-2016,Argos,B,53.7074,-166.5562,2907,6417,1316,79,,,,,,
PV2015_1008_14U0371,143961,UT,04:56:54 22-Jan-2016,Argos,B,53.7054,-166.5584,2364,5350,1044,92,,,,,,
PV2015_1008_14U0371,143961,UT,07:44:18 22-Jan-2016,Argos,B,53.7141,-166.5586,2351,102946,53,80,,,,,,
PV2015_1008_14U0371,143961,UT,20:45:37 22-Jan-2016,Argos,B,53.6921,-166.5963,3299,14228,765,103,,,,,,
PV2015_1008_14U0371,143961,UT,23:40:11 22-Jan-2016,Argos,B,53.7058,-166.5856,3624,13347,984,103,,,,,,
PV2015_1008_14U0371,143961,UT,02:58:10 16-Feb-2016,Argos,1,57.0431,-165.8972,796,2197,288,80,,,,,,
PV2015_1008_14U0371,143961,UT,03:14:11 16-Feb-2016,Argos,B,57.0440,-165.8968,8581,15780,4666,89,,,,,,
PV2015_1008_14U0371,143961,UT,18:45:57 23-Feb-2016,Argos,0,54.2867,-165.4988,3780,10456,1366,90,,,,,,
PV2015_1008_14U0371,143961,UT,19:41:18 23-Feb-2016,Argos,0,54.3078,-165.6769,4288,7188,2558,88,,,,,,
PV2015_1008_14U0371,143961,UT,20:33:19 23-Feb-2016,Argos,1,54.2758,-165.5802,546,997,299,115,,,,,,
PV2015_1008_14U0371,143961,UT,21:28:47 23-Feb-2016,Argos,0,54.2884,-165.6187,8066,159670,407,99,,,,,,
PV2015_1008_14U0371,143961,UT,22:14:55 23-Feb-2016,Argos,B,54.2669,-165.5712,4847,13007,1806,103,,,,,,
PV2015_1008_14U0371,143961,UT,21:06:24 24-Feb-2016,Argos,A,54.2858,-165.6941,2562,69108,95,110,,,,,,
PV2015_1008_14U0371,143961,UT,21:52:49 24-Feb-2016,Argos,A,54.2800,-165.5869,179,548,58,113,,,,,,
PV2015_1008_14U0371,143961,UT,22:03:21 26-Feb-2016,Argos,1,53.7626,-166.5327,761,2285,253,108,,,,,,
PV2015_1008_14U0371,143961,UT,22:12:00 26-Feb-2016,Argos,A,53.7984,-166.4852,1080,3477,335,124,,,,,,
PV2015_1008_14U0371,143961,UT,22:56:01 26-Feb-2016,Argos,B,53.7916,-166.4622,3497,6097,2005,97,,,,,,
PV2015_1008_14U0371,143961,UT,23:46:08 26-Feb-2016,Argos,3,53.7595,-166.5146,168,366,77,68,,,,,,
PV2015_1008_14U0371,143961,UT,03:00:03 27-Feb-2016,Argos,1,53.7602,-166.5112,666,1481,299,80,,,,,,
PV2015_1008_14U0371,143961,UT,03:11:38 27-Feb-2016,Argos,B,53.7578,-166.5105,3732,6379,2183,89,,,,,,
PV2015_1008_14U0371,143961,UT,03:16:42 27-Feb-2016,Argos,1,53.7569,-166.5167,1143,3550,368,77,,,,,,
PV2015_1008_14U0371,143961,UT,04:10:57 27-Feb-2016,Argos,B,53.7401,-166.5254,11813,20249,6891,87,,,,,,
PV2015_1008_14U0371,143961,UT,04:40:24 27-Feb-2016,Argos,B,53.7616,-166.5060,6807,147284,314,110,,,,,,
PV2015_1008_14U0371,143961,UT,05:01:11 27-Feb-2016,Argos,B,53.7632,-166.5066,1055,3468,320,105,,,,,,
PV2015_1008_14U0371,143961,UT,05:58:45 27-Feb-2016,Argos,0,53.7613,-166.5441,2675,74991,95,100,,,,,,
PV2015_1008_14U0371,143961,UT,07:01:11 27-Feb-2016,Argos,B,53.7509,-166.5558,5474,13390,2237,89,,,,,,
PV2015_1008_14U0371,143961,UT,18:35:30 27-Feb-2016,Argos,1,53.7571,-166.4978,542,723,405,116,,,,,,
PV2015_1008_14U0371,143961,UT,18:46:15 27-Feb-2016,Argos,3,53.7701,-166.4942,154,287,82,84,,,,,,
PV2015_1008_14U0371,143961,UT,18:46:15 27-Feb-2016,Argos,3,53.7701,-166.4942,154,287,82,84,,,,,,
PV2015_1008_14U0371,143961,UT,19:55:23 27-Feb-2016,Argos,B,53.7691,-166.5035,821,7867,85,83,,,,,,
PV2015_1008_14U0371,143961,UT,21:39:46 27-Feb-2016,Argos,2,53.7491,-166.4637,343,2360,49,101,,,,,,
PV2015_1008_14U0371,143961,UT,22:34:07 27-Feb-2016,Argos,A,53.7451,-166.4769,1118,10962,114,102,,,,,,
PV2015_1008_14U0371,143961,UT,23:18:35 27-Feb-2016,Argos,B,53.7640,-166.5068,1274,9175,176,76,,,,,,
PV2015_1008_14U0371,143961,UT,23:41:00 27-Feb-2016,Argos,A,53.7512,-166.5074,189,282,125,112,,,,,,
PV2015_1008_14U0371,143961,UT,02:48:40 28-Feb-2016,Argos,2,53.7578,-166.5097,367,605,221,76,,,,,,
PV2015_1008_14U0371,143961,UT,02:57:12 28-Feb-2016,Argos,1,53.7679,-166.4973,871,1677,452,87,,,,,,
PV2015_1008_14U0371,143961,UT,03:00:03 28-Feb-2016,Argos,B,53.7657,-166.5072,5657,9672,3308,89,,,,,,
PV2015_1008_14U0371,143961,UT,03:40:13 28-Feb-2016,Argos,B,53.7647,-166.5108,10410,18265,5932,87,,,,,,
PV2015_1008_14U0371,143961,UT,04:34:45 28-Feb-2016,Argos,B,53.7564,-166.5002,950,15191,59,53,,,,,,
PV2015_1008_14U0371,143961,UT,04:37:14 28-Feb-2016,Argos,1,53.7605,-166.5170,825,2125,320,83,,,,,,
PV2015_1008_14U0371,143961,UT,05:26:06 28-Feb-2016,Argos,2,53.7601,-166.5458,397,1261,125,97,,,,,,
PV2015_1008_14U0371,143961,UT,05:47:20 28-Feb-2016,Argos,A,53.7935,-166.5069,1266,2450,654,135,,,,,,
PV2015_1008_14U0371,143961,UT,18:22:50 28-Feb-2016,Argos,2,53.7595,-166.5087,394,919,168,101,,,,,,
PV2015_1008_14U0371,143961,UT,18:25:44 28-Feb-2016,Argos,1,53.7718,-166.5441,1222,3497,426,90,,,,,,
PV2015_1008_14U0371,143961,UT,19:36:55 28-Feb-2016,Argos,B,53.7883,-166.5234,6143,62580,602,122,,,,,,
PV2015_1008_14U0371,143961,UT,21:24:05 28-Feb-2016,Argos,B,53.7425,-166.5397,2387,14457,394,103,,,,,,
PV2015_1008_14U0371,143961,UT,22:08:33 28-Feb-2016,Argos,B,53.7873,-166.5282,1454,14961,141,119,,,,,,
PV2015_1008_14U0371,143961,UT,02:48:33 29-Feb-2016,Argos,B,53.7373,-166.3381,3267,6359,1678,93,,,,,,
PV2015_1008_14U0371,143961,UT,02:06:49 03-Mar-2016,Argos,3,53.7052,-166.5912,178,246,127,117,,,,,,
PV2015_1008_14U0371,143961,UT,23:14:50 03-Mar-2016,Argos,B,53.7136,-166.5718,3806,8605,1683,120,,,,,,
PV2015_1008_14U0371,143961,UT,02:04:08 04-Mar-2016,Argos,B,53.6778,-166.4960,3356,111734,100,111,,,,,,
PV2015_1008_14U0371,143961,UT,04:14:10 04-Mar-2016,Argos,B,53.6929,-166.5465,1456,20445,103,87,,,,,,
PV2015_1008_14U0371,143961,UT,04:24:42 04-Mar-2016,Argos,B,53.6933,-166.5565,1583,11751,213,86,,,,,,
PV2015_1008_14U0371,143961,UT,05:43:42 04-Mar-2016,Argos,B,53.7052,-166.5761,1923,6581,561,85,,,,,,
PV2015_1008_14U0371,143961,UT,05:51:53 04-Mar-2016,Argos,B,53.7035,-166.5789,1874,5838,601,86,,,,,,
PV2015_1008_14U0371,143961,UT,07:02:11 05-Mar-2016,Argos,B,53.7115,-166.6011,3686,232302,58,80,,,,,,
PV2015_1008_14U0371,143961,UT,17:37:18 05-Mar-2016,Argos,B,53.7202,-166.6172,3189,105608,96,102,,,,,,
PV2015_1008_14U0371,143961,UT,04:56:23 06-Mar-2016,Argos,B,53.6964,-166.7289,4813,18616,1244,105,,,,,,
PV2015_1008_14U0371,143961,UT,23:50:22 06-Mar-2016,Argos,B,53.6599,-166.6580,4130,16696,1021,72,,,,,,
PV2015_1008_14U0371,143961,UT,23:41:32 07-Mar-2016,Argos,B,53.6520,-166.6455,5652,10185,3136,60,,,,,,
PV2015_1008_14U0371,143961,UT,02:48:42 08-Mar-2016,Argos,B,53.7111,-166.6275,3903,10034,1518,95,,,,,,
PV2015_1008_14U0371,143961,UT,04:12:51 08-Mar-2016,Argos,B,53.7103,-166.6600,3925,9517,1618,97,,,,,,
PV2015_1008_14U0371,143961,UT,05:41:37 08-Mar-2016,Argos,B,53.7198,-166.6519,3314,533210,20,95,,,,,,
PV2015_1008_14U0371,143961,UT,07:45:16 08-Mar-2016,Argos,B,53.7252,-166.6456,3632,20227,652,94,,,,,,
PV2015_1008_14U0371,143961,UT,19:49:22 08-Mar-2016,Argos,B,53.7593,-166.6050,2649,51718,135,89,,,,,,
PV2015_1008_14U0371,143961,UT,23:27:12 08-Mar-2016,Argos,B,53.7797,-166.4952,1229,10725,140,179,,,,,,
PV2015_1008_14U0371,143961,UT,02:05:08 09-Mar-2016,Argos,A,53.7668,-166.5166,363,716,184,150,,,,,,
PV2015_1008_14U0371,143961,UT,23:18:38 09-Mar-2016,Argos,B,53.8183,-166.4687,3837,7725,1905,55,,,,,,
